PATH,LOCATION,TYPE,CLASSIFICATION,FUNCTIONAL STATUS,RELATION TO CANONICAL,VERSION / HEAD,HASH,UNIQUE FUNCTIONALITY,EVIDENCE,RISK,RECOMMENDATION
/Users/lordjef/Desktop/.DS_Store,Desktop,file,UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/.localized,Desktop,file,UNRELATED,NON-FUNCTIONAL,Unrelated personal/system asset,N/A,N/A,NO,No matching tokens in name or path,NONE,IGNORE_UNRELATED
/Users/lordjef/Desktop/ABRAXAS_CHATGPT_PRO_CONTEXT,Desktop,directory,UNKNOWN_REVIEW,UNKNOWN,Directory requiring manual review,Unknown,N/A,POSSIBLE,Directory with 36 files,MEDIUM,MANUAL_REVIEW
/Users/lordjef/Desktop/ABRAXAS_CHATGPT_PRO_CONTEXT.zip,Desktop,file (.zip),ARCHIVE_HANDOFF,HISTORICAL,LLM / Chat continuity handoff package,Handoff,b603e9e2151c40d020825547bdf0fc49d64976694a97410e66c8fa8c06aece53,NO,"Archive with 37 files (source=False, tests=False)",LOW,KEEP_REFERENCE
/Users/lordjef/Desktop/ABRAXAS_CONTENT_LAB_V3_1_VERIFIED,Desktop,symlink,COMPATIBILITY_POINTER,CURRENT VERIFIED,Points directly to canonical path: /Users/lordjef/Desktop/abraxasos/ABRAXAS_CORE/content_engine/ABRAXAS_CONTENT_LAB_V3_1_VERIFIED,Symlink,N/A,NO,Symlink target /Users/lordjef/Desktop/abraxasos/ABRAXAS_CORE/content_engine/ABRAXAS_CONTENT_LAB_V3_1_VERIFIED,LOW,KEEP_COMPATIBILITY
/Users/lordjef/Desktop/ABRAXAS_CONTENT_LAB_v2.5_MOTION_TREATMENT_V2_VOX_DOAC,Desktop,directory,UNKNOWN_REVIEW,UNKNOWN,Directory requiring manual review,Unknown,N/A,POSSIBLE,Directory with 11 files,MEDIUM,MANUAL_REVIEW
/Users/lordjef/Desktop/ABRAXAS_GIT_SAFETY,Desktop,directory,UNKNOWN_REVIEW,UNKNOWN,Directory requiring manual review,Unknown,N/A,POSSIBLE,Directory with 338 files,MEDIUM,MANUAL_REVIEW
/Users/lordjef/Desktop/ABRAXAS_MODULAR_AUDITS,Desktop,directory,UNKNOWN_REVIEW,UNKNOWN,Directory requiring manual review,Unknown,N/A,POSSIBLE,Directory with 11 files,MEDIUM,MANUAL_REVIEW
/Users/lordjef/Desktop/ABRAXAS_OS_LOCAL_BACKUPS,Desktop,directory,BACKUP_SNAPSHOT,HISTORICAL,Local backup / quarantine directory outside canonical repo,Backup Directory,N/A,POSSIBLE,Contains 0 files (source: False),LOW,KEEP_REFERENCE
/Users/lordjef/Desktop/ABRAXAS_OS_LOCAL_QUARANTINE,Desktop,directory,BACKUP_SNAPSHOT,HISTORICAL,Local backup / quarantine directory outside canonical repo,Backup Directory,N/A,POSSIBLE,Contains 0 files (source: False),LOW,KEEP_REFERENCE
/Users/lordjef/Desktop/ABRAXAS_OS_STATUS_SITE,Desktop,directory,FUNCTIONAL_CURRENT_OUTSIDE_CANONICAL,CURRENT VERIFIED,Independent repository for public system status portal,main @ 5c941ff8 (https://github.com/LordJeferies/ABRAXAS_OS_STATUS.git),N/A,YES,"Origin: LordJeferies/ABRAXAS_OS_STATUS, live status deployment",LOW,KEEP_REFERENCE
